date,machine_id,severity,failure_probability,recommendation
2026-01-25,M4,LOW,0.0,Machine M4: Downtime rose 2.3 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-01-31,M4,LOW,0.0,Machine M4: Downtime rose 2.6 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-02-01,M3,LOW,0.0,Machine M3: Downtime rose 2.4 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-02-14,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.9 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-02-18,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.1 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-02-20,M4,LOW,0.0,Machine M4: Defect rate spiked 2.6 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-02-21,M5,LOW,0.0,Machine M5: Production efficiency dropped 2.4 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-02-22,M5,LOW,0.004,Machine M5: Downtime rose 3.1 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-02-24,M2,LOW,0.0,Machine M2: Downtime rose 3.4 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-02-26,M1,LOW,0.004,Machine M1: Downtime rose 2.5 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-02-26,M4,LOW,0.0,Machine M4: Downtime rose 2.4 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-03-01,M5,LOW,0.02,Machine M5: Downtime rose 2.5 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-03-05,M3,LOW,0.0,Machine M3: Production efficiency dropped 3.6 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-03-12,M3,LOW,0.0,Machine M3: Production efficiency dropped 2.0 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-03-14,M1,LOW,0.0,Machine M1: Downtime rose 2.3 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-03-16,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.7 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-03-16,M5,LOW,0.0,Machine M5: Defect rate spiked 2.6 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-03-18,M2,LOW,0.0,Machine M2: Defect rate spiked 2.1 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-03-19,M3,LOW,0.024,Machine M3: Downtime rose 2.2 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-03-20,M2,LOW,0.0,Machine M2: Defect rate spiked 2.2 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-03-23,M2,LOW,0.0,Machine M2: Downtime rose 2.1 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-03-25,M5,LOW,0.0,Machine M5: Production efficiency dropped 2.8 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-04-03,M1,LOW,0.0,Machine M1: Defect rate spiked 2.2 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-04,M1,LOW,0.0,Machine M1: Downtime rose 2.2 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-05,M3,LOW,0.01,Machine M3: Downtime rose 2.3 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-06,M1,LOW,0.01,Machine M1: Production efficiency dropped 3.1 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-10,M2,LOW,0.705,Machine M2: Downtime rose 2.3 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Failure risk model estimates a 70% probability of breakdown if unaddressed. Monitor over the next few shifts; no immediate action required.
2026-04-11,M3,LOW,0.004,Machine M3: Production efficiency dropped 2.6 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-14,M4,LOW,0.0,Machine M4: Production efficiency dropped 3.1 std-dev below normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-04-16,M4,LOW,0.0,Machine M4: Defect rate spiked 2.2 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-04-18,M3,LOW,0.0,Machine M3: Defect rate spiked 2.1 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-24,M3,LOW,0.0,Machine M3: Defect rate spiked 2.6 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-25,M1,LOW,0.0,Machine M1: Production efficiency dropped 2.2 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-04-25,M5,LOW,0.0,Machine M5: Defect rate spiked 2.4 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-04-28,M3,LOW,0.0,Machine M3: Production efficiency dropped 2.0 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-04,M4,LOW,0.0,Machine M4: Production efficiency dropped 2.1 std-dev below normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-05-07,M2,LOW,0.0,Machine M2: Downtime rose 2.1 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-05-09,M1,LOW,0.004,Machine M1: Downtime rose 2.1 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-10,M3,LOW,0.0,Machine M3: Defect rate spiked 2.1 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-11,M2,LOW,0.0,Machine M2: Downtime rose 3.2 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-05-19,M1,LOW,0.0,Machine M1: Downtime rose 2.9 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-24,M3,LOW,0.0,Machine M3: Defect rate spiked 2.3 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-28,M2,LOW,0.0,Machine M2: Defect rate spiked 2.2 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-05-28,M4,LOW,0.0,Machine M4: Defect rate spiked 2.0 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-05-29,M3,LOW,0.0,Machine M3: Production efficiency dropped 2.6 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-30,M1,LOW,0.0,Machine M1: Defect rate spiked 2.6 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-30,M3,LOW,0.004,Machine M3: Defect rate spiked 2.8 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-05-31,M4,LOW,0.01,Machine M4: Downtime rose 2.7 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-01,M4,LOW,0.0,Machine M4: Defect rate spiked 3.4 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-02,M4,LOW,0.0,Machine M4: Defect rate spiked 2.1 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-04,M4,LOW,0.0,Machine M4: Production efficiency dropped 3.0 std-dev below normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-05,M4,LOW,0.0,Machine M4: Production efficiency dropped 2.9 std-dev below normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-07,M3,LOW,0.0,Machine M3: Downtime rose 3.9 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-06-09,M1,LOW,0.004,Machine M1: Production efficiency dropped 2.3 std-dev below normal. Recommend engineers inspect the cutting blade for wear or misalignment. Monitor over the next few shifts; no immediate action required.
2026-06-09,M5,LOW,0.0,Machine M5: Defect rate spiked 2.8 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-06-13,M2,LOW,0.0,Machine M2: Production efficiency dropped 2.4 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-06-15,M2,LOW,0.0,Machine M2: Production efficiency dropped 2.3 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-06-18,M4,LOW,0.0,Machine M4: Downtime rose 2.6 std-dev above normal. Recommend engineers inspect folding arm alignment and belt tension. Monitor over the next few shifts; no immediate action required.
2026-06-28,M2,LOW,0.0,Machine M2: Downtime rose 2.6 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-06-28,M5,LOW,0.03,Machine M5: Production efficiency dropped 2.0 std-dev below normal. Recommend engineers check press pressure calibration and hydraulic seals. Monitor over the next few shifts; no immediate action required.
2026-02-05,M5,MEDIUM,0.0,Machine M5: Production efficiency dropped 3.0 std-dev below normal; defect rate spiked 2.5 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-02-12,M5,MEDIUM,0.0,Machine M5: Production efficiency dropped 2.5 std-dev below normal; downtime rose 2.3 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-03-13,M2,MEDIUM,0.0,Machine M2: Production efficiency dropped 2.5 std-dev below normal; downtime rose 3.0 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-04-01,M2,MEDIUM,0.0,Machine M2: Production efficiency dropped 2.6 std-dev below normal; downtime rose 2.1 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-04-03,M2,MEDIUM,0.004,Machine M2: Production efficiency dropped 3.6 std-dev below normal; downtime rose 2.6 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-04-06,M2,MEDIUM,0.084,Machine M2: Defect rate spiked 2.7 std-dev above normal; downtime rose 2.7 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Schedule maintenance within 3-5 days.
2026-04-08,M2,MEDIUM,0.735,Machine M2: Defect rate spiked 2.3 std-dev above normal; downtime rose 2.8 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Failure risk model estimates a 74% probability of breakdown if unaddressed. Schedule maintenance within 3-5 days.
2026-04-09,M2,MEDIUM,0.78,Machine M2: Defect rate spiked 2.4 std-dev above normal; downtime rose 2.5 std-dev above normal. Recommend engineers check press pressure calibration and hydraulic seals. Failure risk model estimates a 78% probability of breakdown if unaddressed. Schedule maintenance within 3-5 days.
2026-06-12,M1,MEDIUM,0.725,Machine M1: Production efficiency dropped 2.2 std-dev below normal; downtime rose 2.6 std-dev above normal. Recommend engineers inspect the cutting blade for wear or misalignment. Failure risk model estimates a 72% probability of breakdown if unaddressed. Schedule maintenance within 3-5 days.
